src,n,ubo_rate
Pandora Papers - Commence Overseas,4054,99.90133201776024
Pandora Papers - Alpha Consulting,2780,99.78417266187051
Pandora Papers - Fidelity Corporate Services,3567,99.77572189514999
"Pandora Papers - Alemán, Cordero, Galindo & Lee (Alcogal)",24601,99.1585707898053
Pandora Papers - Overseas Management Company (OMC),472,82.41525423728814
Pandora Papers - CILTrust International,2080,57.83653846153847
Pandora Papers - Trident Trust,6090,34.90968801313629
Pandora Papers - Asiaciti Trust,237,2.9535864978902953
Paradise Papers - Appleby,247678,1.4078763555907268
Offshore Leaks,288681,0.6211007998448115
Pandora Papers - SFM Corporate Services,8440,0.07109004739336493
Panama Papers,309357,0.02779959722909131
NA,1725,0.0
Bahamas Leaks,36461,0.0
Pandora Papers - Il Shin Corporate Consulting Limited,870,0.0
Paradise Papers - Aruba corporate registry,63579,0.0
Paradise Papers - Bahamas corporate registry,14,0.0
Paradise Papers - Barbados corporate registry,142680,0.0
Paradise Papers - Cook Islands corporate registry,2794,0.0
Paradise Papers - Lebanon corporate registry,4,0.0
Paradise Papers - Malta corporate registry,565138,0.0
Paradise Papers - Nevis corporate registry,204,0.0
Paradise Papers - Samoa corporate registry,8851,0.0
