kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,pooled_pooled_count,cz
0.36781323,0.021693414,228.14854,11101.0
0.31678087,0.01464707,391.91345,11101.0
0.37348467,0.018376052,394.79211,11101.0
0.42151117,0.019321214,388.38309,11101.0
0.43341541,0.020093407,419.08334,11101.0
0.32909158,0.013519704,540.18463,11101.0
0.36772358,0.015393233,458.4985,11101.0
0.31798476,0.024144072,230.28433,11101.0
0.37062427,0.012165333,997.32593,11101.0
0.35310766,0.016210776,718.44073,11101.0
0.36399326,0.018840382,467.85281,11101.0
0.33976412,0.016053511,640.19629,11101.0
0.38464239,0.021488469,609.43762,11001.0
0.40648216,0.024807325,424.53925,11001.0
0.38956508,0.015235787,831.69696,11001.0
0.39314669,0.017721843,748.00079,11001.0
0.45390138,0.021697447,374.47519,11001.0
0.3415885,0.013742859,1064.2311,11001.0
0.42115703,0.023324652,343.46628,11001.0
0.42956859,0.02077884,474.49905,11001.0
0.46721697,0.019967511,305.30542,11001.0
0.39652324,0.015744824,522.06494,11001.0
0.37935385,0.019098751,522.19299,11001.0
0.36869636,0.019382428,588.93402,11001.0
0.37164703,0.015321462,780.64325,11001.0
0.41733271,0.019315971,897.42535,11001.0
0.39370656,0.020527469,548.39203,11001.0
0.38562661,0.01824574,680.62439,11001.0
0.42134586,0.019913182,484.2247,11001.0
0.44134027,0.0320356,194.19754,11001.0
0.48072276,0.023906277,198.44501,11001.0
0.34706861,0.015495376,529.02252,11001.0
0.38352647,0.023917336,338.88031,11001.0
0.35743341,0.013028227,1041.4127,11001.0
0.36484504,0.017780304,415.91379,11001.0
0.42499158,0.027036041,178.63931,11001.0
0.42129293,0.027607726,242.83382,11001.0
0.42544085,0.022893921,265.48007,11001.0
0.3708877,0.016248306,434.28568,11001.0
0.3387135,0.0098600406,1083.9547,11001.0
0.40495455,0.017850993,552.78497,11001.0
0.38329068,0.022138556,411.82254,11001.0
0.35953239,0.017164299,567.4339,10301.0
0.34232086,0.019208506,718.33807,10301.0
0.37548429,0.024200026,437.6171,10301.0
0.3641265,0.021092221,525.90753,10301.0
0.34548327,0.016369544,663.91339,10301.0
0.35193411,0.018067697,472.79556,10301.0
0.31271288,0.018035844,325.59421,10301.0
0.36696279,0.018786779,373.62521,10301.0
0.33247158,0.013397326,870.48914,10301.0
0.42760822,0.030369813,345.75073,10801.0
0.35566136,0.016400067,826.97272,10801.0
0.34913349,0.018056724,661.59222,10801.0
0.35826293,0.013741949,1244.5699,10801.0
0.38112113,0.015766902,1009.2905,10700.0
0.40139884,0.016871203,725.0083,10700.0
0.41450745,0.021748805,501.52808,10700.0
0.39337435,0.016320078,805.62769,10700.0
0.4057565,0.017720159,743.66864,10700.0
0.37839505,0.016087785,959.72766,10700.0
0.37462687,0.023155743,368.93936,10700.0
0.36643815,0.017879535,668.7467,10700.0
0.41819239,0.015439641,1006.4273,10700.0
0.33794221,0.018359987,425.18265,9800.0
0.33667672,0.010782249,1566.3113,9800.0
0.38456938,0.020743893,586.84003,9800.0
0.33275765,0.016210174,428.70685,11101.0
0.45848197,0.029269533,164.67575,11101.0
0.33258277,0.014918613,380.41858,11101.0
0.36210796,0.021668168,324.58087,11101.0
0.31817603,0.011556647,801.21967,11101.0
0.37796316,0.013722574,885.77509,11101.0
0.3583039,0.020891806,326.66818,11101.0
0.35803512,0.019197814,565.98224,11101.0
0.42246345,0.02890099,253.76289,11101.0
0.32631335,0.011938808,501.92963,9600.0
0.29107422,0.0091337375,924.43579,9600.0
0.31165263,0.010915877,537.21204,9600.0
0.29665276,0.010811848,576.75525,9600.0
0.28854737,0.013777533,687.3587,9600.0
0.37576157,0.011711306,419.99554,9600.0
0.33943117,0.020206822,220.86609,9600.0
0.39057583,0.024495156,232.44936,9600.0
0.3846181,0.017925575,396.48892,9600.0
0.4132356,0.015095885,649.27118,9600.0
0.34589586,0.013478443,531.6983,9600.0
0.40046528,0.016931377,518.71027,9600.0
0.33905321,0.014571187,426.81543,9600.0
0.36823893,0.01489129,523.12878,9600.0
0.3671096,0.013615753,748.78888,9600.0
0.37151676,0.014355788,588.0177,9600.0
0.40388024,0.013072487,650.76215,9600.0
0.37188101,0.012825043,811.72156,9600.0
0.36057019,0.016039178,698.84631,9600.0
0.36088011,0.030508285,137.48378,9600.0
0.45806623,0.030176535,146.95404,9600.0
0.38585925,0.016493002,511.95465,9600.0
0.36228096,0.01738283,461.99637,9600.0
0.3689951,0.015472343,647.60516,9600.0
0.38693807,0.016727865,574.62274,9600.0
0.37973878,0.014470758,800.33374,9600.0
0.38209566,0.016980071,545.47656,9600.0
0.36988875,0.01620895,599.71118,9600.0
0.3321875,0.015178452,565.71625,9600.0
0.34502226,0.014937068,568.18823,9600.0
0.33516556,0.0097182505,1307.7026,9600.0
0.34562171,0.016806878,538.91193,9600.0
0.33474153,0.012871379,685.03729,9600.0
0.33561513,0.017042596,294.05212,9600.0
0.33838198,0.011493615,770.15167,9600.0
0.36359468,0.018545229,387.93851,9600.0
0.34448725,0.014449048,764.13336,9600.0
0.3775616,0.025304541,482.3511,6600.0
0.32759681,0.02060983,465.89868,6600.0
0.38622326,0.016786991,720.79895,6600.0
0.35394251,0.017240888,600.22565,6600.0
0.38016737,0.021742798,379.24661,6600.0
0.36713761,0.017539114,668.57684,6600.0
0.35623103,0.013878671,827.47021,10700.0
0.38382941,0.016419284,673.59003,10700.0
0.4509528,0.026122017,351.61639,10700.0
0.35559306,0.019484835,442.5148,10700.0
0.39408255,0.020556422,628.06488,10700.0
0.40395808,0.015091919,1114.9877,10700.0
0.36648676,0.022196323,515.61279,10700.0
0.42842245,0.02135249,565.98962,10700.0
0.38391715,0.017261751,667.29443,10700.0
0.32706624,0.016204458,793.64203,10802.0
0.37436447,0.018549077,648.25256,10802.0
0.47435367,0.022845009,597.88495,10802.0
0.43196362,0.024996417,570.47095,10802.0
0.43704504,0.029610738,355.87393,11001.0
0.38542077,0.03948703,177.03391,11001.0
0.40512407,0.015941275,985.30286,11001.0
0.37040314,0.029836876,296.19983,11001.0
0.38344643,0.01415005,1220.0333,11001.0
0.38065943,0.019829547,441.8931,11001.0
0.36201096,0.01431313,723.13715,11001.0
0.39078283,0.031786524,265.10675,11001.0
0.34630585,0.023785414,421.69788,11001.0
0.42530346,0.020882113,688.7655,9500.0
0.36022985,0.023404241,435.61008,9500.0
0.44619167,0.026348112,457.97223,9500.0
0.37142691,0.02317502,427.69379,9500.0
0.36258587,0.025673514,342.84296,9600.0
0.4133004,0.020647332,541.63245,9600.0
0.41575748,0.020706307,576.09845,9600.0
0.4309198,0.022265505,609.56964,9600.0
0.45647159,0.030176286,319.23325,10302.0
0.39566371,0.028931569,269.27289,10302.0
0.39260805,0.020293387,491.388,10302.0
0.3566626,0.021374719,398.49307,10302.0
0.39298588,0.018019885,735.0882,10302.0
0.39808607,0.036830403,228.03757,10302.0
0.39530283,0.02995836,351.07559,10302.0
0.42174894,0.032963876,210.45187,10302.0
0.36347297,0.015625298,404.29822,10302.0
0.32743829,0.014779701,503.73599,10302.0
0.40065601,0.022427563,181.04948,10302.0
0.45154044,0.019364769,333.69507,10302.0
0.41186389,0.013756474,702.65125,10302.0
0.33223352,0.012915881,701.75482,10302.0
0.38001052,0.016867386,547.05774,6200.0
0.33688703,0.016499395,316.12149,6200.0
0.29829153,0.015689757,544.42609,6200.0
0.39122236,0.046407759,60.134647,6200.0
0.39950639,0.018517075,527.24835,6200.0
0.35446048,0.015952088,452.69962,6200.0
0.34832418,0.01694826,703.27576,6200.0
0.41397077,0.019512806,405.33368,6200.0
0.39047712,0.019865761,377.66376,6200.0
0.37316692,0.018288441,541.15027,6200.0
0.39808083,0.020212386,612.1358,6200.0
0.38915604,0.018133469,629.42511,6200.0
0.39796838,0.018339667,600.84009,6200.0
0.35230783,0.017291181,611.70062,6200.0
0.36810821,0.021129355,420.8696,11002.0
0.4015106,0.026018362,336.28613,11002.0
0.37215579,0.018393412,659.1936,11002.0
0.33305418,0.022251876,267.48282,11002.0
0.37469384,0.015054303,974.44019,11002.0
0.32014927,0.014838804,925.2735,9500.0
0.39202073,0.022844933,557.22144,9500.0
0.3634294,0.023374882,578.11273,9500.0
0.44309208,0.021405751,632.47058,11102.0
0.42252633,0.019254278,701.29651,11102.0
0.3635096,0.01641036,510.11005,11102.0
0.40345693,0.027177671,235.02722,11102.0
0.3853837,0.01707866,608.37823,11102.0
0.3689782,0.020102551,403.31833,11102.0
0.40252635,0.021793565,478.67941,11102.0
0.43378052,0.022762917,353.25333,11102.0
0.44594365,0.027935378,209.25706,11102.0
0.37240413,0.023481533,244.1722,11102.0
0.40031052,0.019025486,435.14938,11102.0
0.4909867,0.032714657,248.79622,11102.0
0.46085414,0.03167861,235.91672,11102.0
0.38684261,0.017172713,587.724,11102.0
0.3966243,0.023907306,343.3143,11102.0
0.34567666,0.024551485,341.20029,11102.0
0.43172148,0.023288075,518.14832,11102.0
0.43599939,0.021329226,517.23883,11102.0
0.42837441,0.033804804,341.3378,11102.0
0.37775534,0.036574621,227.21109,11102.0
0.37141702,0.015623335,834.91492,10700.0
0.40117854,0.01444531,1181.0559,10700.0
0.44900253,0.017818861,630.82922,10700.0
0.41699213,0.0184457,557.41858,10700.0
0.42533416,0.016846785,805.93994,10700.0
0.39042863,0.018223671,544.54376,10700.0
0.38995531,0.016533464,643.81213,10700.0
0.40137973,0.017542992,409.556,10700.0
0.47846997,0.017850518,578.73737,10700.0
0.39336416,0.014872504,679.32043,10700.0
0.37093559,0.01815238,473.1459,10700.0
0.36465144,0.025939364,258.21841,10700.0
0.43716189,0.018543804,684.58069,10700.0
0.34680241,0.020942021,413.67142,10700.0
0.38401812,0.01751239,581.91388,10700.0
0.3778033,0.01434048,786.09442,10700.0
0.47840977,0.026874011,259.50095,10700.0
0.41827801,0.02495783,376.68475,10700.0
0.37744707,0.012523545,960.03412,10302.0
0.40217441,0.020393869,597.83044,10302.0
0.42273989,0.028386639,277.16415,10302.0
0.38081256,0.027652204,343.51132,10302.0
0.45609567,0.034537487,142.74728,10302.0
0.39132673,0.024848631,247.15382,10302.0
0.33768773,0.011382781,782.0575,10302.0
0.37318966,0.014725441,566.8913,10302.0
0.39891624,0.01613142,534.88971,10302.0
0.39053676,0.01587037,512.82245,10302.0
0.38767138,0.014753781,600.50085,10302.0
0.36966413,0.019013606,397.36688,10302.0
0.3937906,0.022199452,441.53622,10302.0
0.37140569,0.016080635,847.40924,10302.0
0.35995263,0.011689445,1251.1631,10801.0
0.32578051,0.015925957,442.59308,10801.0
0.40911844,0.023758508,350.43256,10801.0
0.33580306,0.013232186,468.61908,10801.0
0.31113306,0.011846293,875.34271,10801.0
0.28052753,0.010635742,1144.0681,10801.0
0.305531,0.00980331,849.25275,10801.0
0.47867674,0.03300035,116.84538,10801.0
0.34763053,0.022711132,187.24771,10801.0
0.36886406,0.01670916,484.06659,10801.0
0.32677847,0.015337477,794.21027,10801.0
0.34575009,0.024548115,315.40231,10801.0
0.3745738,0.023633717,276.33112,10801.0
0.29667655,0.01212751,630.78796,10801.0
0.33584946,0.010058126,1652.4087,10801.0
0.42106858,0.017641641,932.39783,6100.0
0.38845158,0.022181228,542.70746,6100.0
0.39389282,0.015984775,935.52411,6100.0
0.3821519,0.016868573,821.80261,6100.0
0.41613743,0.018846486,772.98926,6100.0
0.42300925,0.018337006,891.21289,6100.0
0.40510041,0.014213581,1317.6726,6100.0
0.40074721,0.022218075,730.97876,6100.0
0.35785466,0.017369172,574.38861,6100.0
0.40269098,0.019273469,546.62762,6100.0
0.37215233,0.019678706,370.14236,6100.0
0.47824913,0.042831391,112.70885,6100.0
0.36686656,0.015326503,882.85626,6100.0
0.4003973,0.021802979,581.81775,6100.0
0.37318024,0.015310536,772.91724,11101.0
0.38451684,0.018239712,490.68243,11101.0
0.48646805,0.030168958,206.93732,11101.0
0.37140417,0.013760796,1030.0364,11101.0
0.41299507,0.016856419,763.07751,11101.0
0.36040378,0.013574752,812.86395,11101.0
0.4061361,0.023771867,409.03003,11101.0
0.40074944,0.024681704,217.02621,11101.0
0.34921676,0.011880677,881.09869,11101.0
0.39723188,0.02044549,434.49756,11101.0
0.38354939,0.022180639,425.42648,11101.0
0.39838192,0.016620066,665.09558,11101.0
0.37897831,0.020942278,394.06418,11101.0
0.33830947,0.021011628,359.65543,11101.0
0.35831714,0.01478586,548.67566,11101.0
0.37267455,0.013421892,1071.7609,11002.0
0.41390562,0.018216182,617.0611,11002.0
0.42580107,0.021516794,437.98181,11002.0
0.34052122,0.019076485,339.1239,11002.0
0.41480222,0.024742953,537.92206,11002.0
0.4098064,0.020976054,542.90625,11002.0
0.37276474,0.014967803,905.02576,11002.0
0.29641739,0.010636019,1286.6198,11002.0
0.393675,0.020549992,380.72687,11002.0
0.3302753,0.011178589,736.81958,6100.0
0.29809108,0.01222586,727.70825,6100.0
0.38867226,0.025830962,240.94269,6100.0
0.34341562,0.018444018,303.76599,6100.0
0.3119812,0.014760717,377.70135,6100.0
0.30534086,0.018775759,404.52203,6100.0
0.30482483,0.014381818,301.29538,6100.0
0.33184722,0.012298469,611.34497,6100.0
0.30537736,0.01433283,492.4621,6100.0
0.51246446,0.026517313,245.2989,6100.0
0.39303184,0.018955255,251.98991,6100.0
0.32174131,0.012506718,458.59335,6100.0
0.33113334,0.012661649,616.41986,6100.0
0.37108117,0.019733557,267.84711,6100.0
0.32202601,0.017047498,386.91193,6100.0
0.38189873,0.013625143,998.93744,6100.0
0.36082691,0.020111425,358.01486,6100.0
0.42104524,0.020309387,405.09451,6100.0
0.46790546,0.021084981,428.12659,6100.0
0.4359287,0.01941053,514.17035,6100.0
0.41398388,0.018256776,535.48743,6100.0
0.41928658,0.0211439,439.41803,6100.0
0.3613435,0.016091703,569.59479,6100.0
0.39857459,0.017723124,547.91864,6100.0
0.35852915,0.018458815,579.6192,6100.0
0.35129192,0.023465993,251.21568,6100.0
0.38295808,0.018814277,604.46143,6100.0
0.35807627,0.015219137,737.76984,6100.0
0.37902939,0.016578732,850.85291,6100.0
0.31157658,0.012025621,730.86646,6100.0
0.38634241,0.029561277,216.51897,10600.0
0.42408404,0.019548437,675.94495,10600.0
0.39502066,0.018587288,644.31964,10600.0
0.39099205,0.017622093,639.21326,10600.0
0.41672316,0.022316094,617.77698,10600.0
0.39945185,0.022148589,516.50043,6200.0
0.39299923,0.01892579,655.65894,6200.0
0.39550722,0.02766428,298.87442,6200.0
0.38340613,0.01864402,624.90491,6200.0
0.4148314,0.024065522,529.41626,6200.0
0.38793117,0.027817745,332.03073,6200.0
0.41313255,0.036756214,225.54025,6200.0
0.40980002,0.031239156,286.91623,6200.0
0.42605066,0.016718041,928.3443,6200.0
0.39389342,0.015568137,848.80511,10302.0
0.37931997,0.025860948,383.08636,10302.0
0.37733549,0.013725733,887.41895,10302.0
0.41519886,0.016550265,815.99695,10302.0
0.38250419,0.02100824,651.82446,10302.0
0.40185052,0.021380506,497.89856,10302.0
0.30802017,0.017214207,448.18475,10802.0
0.32962629,0.01114825,1172.639,10802.0
0.33330435,0.014043689,858.56799,10802.0
0.34656316,0.022571269,566.58514,10801.0
0.32206187,0.025241589,340.80524,10801.0
0.39817965,0.029083572,318.9939,10801.0
0.33530307,0.016476568,745.20367,10801.0
0.3717548,0.013087402,1445.7478,10801.0
0.32515815,0.022572478,475.53922,10801.0
0.35710335,0.020002855,403.58853,10302.0
0.36213702,0.018315248,442.64667,10302.0
0.33802742,0.017790733,366.42621,10302.0
0.336876,0.023456546,276.19034,10302.0
0.37022796,0.014581074,720.53394,10302.0
0.37134877,0.032078233,178.54237,10302.0
0.38911659,0.021403905,435.59039,10302.0
0.40845984,0.021359563,439.89804,10302.0
0.47048441,0.022489019,263.38583,10302.0
0.3718935,0.015384819,534.80621,10302.0
0.34969854,0.014488034,538.01965,10302.0
0.46626446,0.028448487,186.30313,10302.0
0.41193843,0.021274857,248.70287,10302.0
0.26967949,0.011111563,626.74451,10302.0
0.36512542,0.015862994,424.68286,10302.0
0.39222497,0.014575685,845.17242,10302.0
0.34252611,0.016309924,433.51685,10302.0
0.34412718,0.0091701942,1109.6241,10302.0
0.36114827,0.013384047,538.17322,10302.0
0.29449698,0.011689462,592.58807,10302.0
0.28806326,0.011019995,673.06012,10302.0
0.31560299,0.009561019,780.2998,10302.0
0.33868244,0.011610946,916.07977,10302.0
0.30620435,0.02784628,247.2917,10302.0
0.37856084,0.024383919,375.61914,10302.0
0.39055184,0.01632059,822.565,10302.0
0.39635125,0.016756386,706.12048,10302.0
0.39743558,0.014400689,968.39496,10302.0
0.3901653,0.015817121,984.10321,6100.0
0.39953682,0.025392644,447.88947,6100.0
0.3842521,0.017509494,772.73596,6100.0
